number,name,addressStreet,addressParcel
4096,매표소(가판대),인천 부평구 마장로 387 청원빌딩,인천 부평구 산곡동 2-8
4097,매표소,인천 부평구 마장로 296,인천 부평구 산곡동 159-52번지
4098,버스매표소,인천 부평구 부평대로 3,인천 부평구 부평동 549-39번지
4099,인현동지하가판,"인천 중구 참외전로 117-15 동인천게임랜드,짱분식",인천 중구 인현동 1-1
4100,버스매표소 복권판매소,인천 중구 우현로 69,인천 중구 인현동 84-1
4101,프로통신,인천 남동구 구월로 366,인천 남동구 만수동 948-3번지
4102,드림투어 작전,인천 계양구 장제로 879,인천 계양구 임학동 10-10
4103,삼정텔레콤,인천 서구 검단로487번길 1,인천 서구 마전동 911-6번지
4104,명동럭키로또,인천 연수구 경원대로483번길 6,인천 연수구 선학동 401-3
4105,행운 마트,인천 남동구 만수로 65,인천 남동구 만수2동 71-10번지
4106,복권세상,인천 계양구 작전시장로 11,인천 계양구 작전동 854-15번지
4107,안전열쇠,인천 계양구 경명대로 1124,인천 계양구 계산동 12-1번지
4108,드림존,인천 동구 방축로83번길 23,인천 동구 송림동 294번지
4109,모닝프라자,인천 남동구 남촌동로15번길 20,인천 남동구 남촌동 317-21번지
4110,대광철물,인천 부평구 청중로 66,인천 부평구 청천동 174번지
4111,제일복권,인천 동구 송림로145번길 2,인천 동구 송림동 31-20번지
4112,경준유통,인천 중구 큰우물로 11-1,인천 중구 용동 152-3번지
4113,드림복권,인천 미추홀구 낙섬중로91번길 4-14,인천 미추홀구 용현동 565-5
4114,홈돌이로또복권,인천 남동구 경원대로 971,인천 남동구 간석동 616-3번지
4115,성모당약국,인천 계양구 장제로1009번길 2,인천 계양구 박촌동 52-8번지
4116,운수대통복권방,인천 서구 가정로 277,인천 서구 석남동 512-6번지
4117,복권천하,인천 계양구 임학동로 58,인천 계양구 임학동 5-44번지
4118,로또명당복권방,인천 강화군 강화읍 강화대로393번길 4,인천 강화군 강화읍 신문리 685-9번지
4119,만복래로또복권방,인천 미추홀구 낙섬중로 11,인천 미추홀구 용현동 627-281
4120,드림마트,인천 미추홀구 인하로 211,인천 미추홀구 주안동 734-4
4121,한일로또,인천 동구 새천년로 71-1,인천 동구 송림동 64-27
4122,LOTTO가맹점,인천 연수구 선학로 101 뉴서울1차아파트,인천 연수구 선학동 352
4123,무한대박,인천 연수구 새말로 107,인천 연수구 연수동 571-1번지
4124,복권방옥련점,인천 연수구 청량로242번길 10-6,인천 연수구 옥련동 270-5
4125,로또복권,인천 연수구 원인재로 180,인천 연수구 연수동 634번지
4126,한국인세계대박복권,인천 연수구 한나루로197번길 34,인천 연수구 옥련동 285번지
4127,로또복권방,인천 연수구 독배로40번길 7,인천 연수구 옥련동 462-12번지
4128,복권방,인천 연수구 비류대로433번길 10,인천 연수구 연수동 508-20
4129,김영로또,인천 옹진군 영흥북로 3,인천 옹진군 영흥면 내리 8-28
4130,흥부네박터졌네,인천 계양구 계산로111번길 8,인천 계양구 계산동 966-1번지
4131,우리마트,인천 계양구 봉오대로743번길 25,인천 계양구 작전동 72-2번지
4132,세븐일레븐 주안역 지하상가점,인천 미추홀구 주안로 86 주안역지하도상가,인천 미추홀구 주안동 235
4133,로또명당,인천 미추홀구 인주대로 463,인천 미추홀구 주안동 1533-26
4134,미니마트,인천 부평구 길주로 376,인천 부평구 산곡동 99-13
4135,동행로또복권,인천 부평구 평천로 366,인천 부평구 갈산동 41-9
4136,로또복권방,인천 부평구 원적로 321,인천 부평구 산곡동 181-41
4137,스타로또,인천 부평구 부평대로 146,인천 부평구 부평동 431-46번지
4138,로또복권,인천 부평구 길주남로102번길 2,인천 부평구 부평동 10-1015번지
4139,만복래,인천 부평구 주부토로 20-2,인천 부평구 부평4동 370-1번지
4140,복권방,인천 부평구 산청로 51,인천 부평구 산곡동 49-16
4141,따봉복권방,인천 부평구 주부토로 109,인천 부평구 부평4동 889-5번지
4142,힘찬슈퍼 복권방,인천 부평구 장제로 112,인천 부평구 부평5동 134-32번지
4143,로또복권방,인천 부평구 광장로 16 부평민자역사,인천 부평구 부평동 738-21
4144,왕대박복권,인천 부평구 후정동로 43,인천 부평구 삼산동 57번지
4145,올리콜 소리기획,인천 부평구 장제로190번길 3,인천 부평구 부평동 10-783번지
